#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2854 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:30.43 aq:27.87 tex:505904 mv:239421 misc:435 imb:8160 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:31.92 aq:29.29 tex:415940 mv:77627 misc:3017 imb:1672 pmb:5501 smb:987 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:32.45 aq:30.14 tex:195219 mv:53470 misc:6151 imb:822 pmb:4814 smb:2524 d:- ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:32.67 aq:31.43 tex:283130 mv:60440 misc:5462 imb:1395 pmb:4725 smb:2040 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:32.56 aq:34.29 tex:109874 mv:41272 misc:7310 imb:230 pmb:4041 smb:3889 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:33.13 aq:30.47 tex:456494 mv:80191 misc:1427 imb:4809 pmb:3138 smb:213 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:32.90 aq:31.34 tex:344429 mv:100731 misc:4376 imb:2594 pmb:4391 smb:1175 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:32.79 aq:33.38 tex:188325 mv:70904 misc:6283 imb:710 pmb:4916 smb:2534 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:33.02 aq:32.86 tex:178556 mv:68732 misc:6440 imb:795 pmb:4894 smb:2471 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:41.13 aq:38.61 tex:136043 mv:50611 misc:4802 imb:3649 pmb:2499 smb:2012 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:37.13 aq:36.16 tex:136246 mv:65300 misc:6342 imb:933 pmb:4578 smb:2649 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:35.13 aq:35.66 tex:133859 mv:52319 misc:6750 imb:487 pmb:4578 smb:3095 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:39.13 aq:40.20 tex:54012 mv:33496 misc:7020 imb:439 pmb:3013 smb:4708 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:47.36 aq:44.98 tex:44227 mv:24657 misc:6844 imb:2373 pmb:1248 smb:4539 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:44.24 aq:43.78 tex:37495 mv:28553 misc:7352 imb:451 pmb:2921 smb:4788 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:42.69 aq:44.58 tex:24000 mv:17086 misc:6674 imb:205 pmb:2128 smb:5827 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:45.80 aq:47.99 tex:4841 mv:8895 misc:4696 imb:69 pmb:1092 smb:6999 d:- ref:0 ;
